"통계분류(1)","통계분류(2)",시점,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"성별","남자",2018,2809,7044,1362,1979,1277,1577,1018,330,6902,16425,3104,5772,3656,8263,7114,8469,6474
"성별","남자",2019,3009,5394,1970,2632,1241,2357,1228,475,7393,14300,4042,6766,4807,7072,6592,6454,4840
"성별","남자",2020,1313,2175,605,1030,617,1072,832,362,5230,7441,2079,4103,3349,4341,3436,4711,3435
"성별","남자",2021,1235,2338,507,1273,467,1000,658,128,3388,8260,1875,3313,2838,4227,3714,4528,4217
"성별","남자",2022,1596,3147,1015,1744,573,1113,628,359,4546,11232,2609,5133,3599,5506,4624,5601,5432
"성별","여자",2018,2802,7120,1216,1878,997,2192,801,274,5763,14951,2754,5803,4057,7907,7345,7487,7045
"성별","여자",2019,3727,5416,1662,2784,1400,1689,1153,408,7394,14327,3505,6246,5568,6998,7309,6797,6205
"성별","여자",2020,1284,2445,663,1014,688,1232,575,276,3855,7202,2326,3982,3101,4267,3153,4358,4439
"성별","여자",2021,1335,2166,847,909,370,784,607,192,3753,7614,2227,3857,2780,4498,3841,4956,5834
"성별","여자",2022,1608,3437,904,1210,410,957,899,289,4675,10474,2967,5584,3290,5624,5709,5882,7949
"연령","15~19세",2018,454,739,102,86,127,295,73,-,833,1207,180,410,385,570,639,390,670
"연령","15~19세",2019,304,499,188,390,199,152,152,21,893,1188,216,668,605,563,365,456,327
"연령","15~19세",2020,128,133,35,61,57,97,93,20,397,382,119,224,156,205,135,275,160
"연령","15~19세",2021,110,217,42,128,71,8,17,27,353,485,45,222,131,205,159,201,168
"연령","15~19세",2022,96,359,40,109,39,49,40,10,325,637,166,231,339,274,303,219,333
"연령","20대",2018,1320,2927,403,487,272,336,371,10,2197,5943,582,1668,1277,2313,1670,1845,2263
"연령","20대",2019,1725,3041,735,802,293,612,464,66,2533,5433,970,1529,1470,1829,1959,1559,2336
"연령","20대",2020,700,1397,244,388,296,366,186,127,1937,2884,525,1394,1138,1854,909,1421,1273
"연령","20대",2021,783,1312,384,608,91,282,111,88,1356,2658,594,1219,1259,1742,1132,1477,2143
"연령","20대",2022,746,1901,248,480,170,286,74,123,1628,3564,665,1764,1125,1521,1716,1863,2842
"연령","30대",2018,1183,3170,759,562,488,743,345,203,3014,6904,937,1833,1198,2831,2782,2638,2668
"연령","30대",2019,1215,2217,693,967,600,919,603,340,3203,6405,1234,2785,1839,2487,2620,2706,2258
"연령","30대",2020,611,1105,326,500,250,714,301,181,2420,3325,1033,1979,1432,1601,1275,2112,2111
"연령","30대",2021,708,1293,165,348,185,497,327,47,2055,3438,756,1511,1143,1681,1724,1894,2532
"연령","30대",2022,554,1242,517,906,151,522,282,169,2147,4741,1234,2035,1309,2041,1916,2325,2826
"연령","40대",2018,966,3382,367,702,319,876,510,94,2451,7415,1248,3138,1631,4215,4069,3747,3085
"연령","40대",2019,1165,1966,667,1220,488,1008,503,270,2968,6153,1882,3040,2243,3473,2864,2662,1705
"연령","40대",2020,501,871,303,564,229,375,312,160,1858,3626,1138,2093,1564,2040,1701,2137,1718
"연령","40대",2021,330,695,282,444,248,306,300,57,1482,3727,871,1807,1320,2023,1815,2380,2173
"연령","40대",2022,595,1296,407,426,191,570,414,130,2517,4852,1440,2708,1616,2492,2182,2465,2543
"연령","50대",2018,764,2368,518,1125,602,758,235,119,1920,5838,1576,2447,2012,3080,3138,3808,2537
"연령","50대",2019,821,1741,677,1135,566,844,321,89,2387,5557,1914,2699,2401,3216,3395,3212,2562
"연령","50대",2020,357,707,184,293,257,345,329,65,1461,2616,1108,1670,1310,1689,1633,1811,1834
"연령","50대",2021,241,538,248,444,122,456,219,64,1117,3269,1009,1511,1106,1654,1723,2322,1801
"연령","50대",2022,530,1083,396,669,144,332,462,64,1449,4754,1095,1961,1278,2619,2632,2732,2817
"연령","60대",2018,510,1029,374,592,224,536,94,134,1360,2743,860,1292,726,2232,1181,2108,1318
"연령","60대",2019,737,902,499,536,321,357,226,42,1607,2524,956,1502,1119,1552,1620,1583,1272
"연령","60대",2020,206,302,115,189,116,310,128,39,663,1572,340,604,558,922,698,991,500
"연령","60대",2021,236,263,153,194,88,152,202,5,566,1985,633,632,517,1090,837,973,1048
"연령","60대",2022,485,440,215,259,146,113,226,107,784,2173,670,1371,851,1705,1167,1516,1461
"연령","70세 이상",2018,413,549,54,302,241,226,190,45,891,1327,476,788,485,930,980,1420,978
"연령","70세 이상",2019,769,446,173,367,174,154,112,56,1197,1368,376,790,699,950,1078,1073,586
"연령","70세 이상",2020,93,108,61,50,101,96,58,44,350,237,143,122,290,297,238,322,277
"연령","70세 이상",2021,160,186,80,15,31,82,90,33,213,312,193,268,141,329,167,238,187
"연령","70세 이상",2022,197,261,97,105,142,199,29,44,370,985,306,646,372,478,416,362,558
"가구소득","100만원 미만",2018,173,85,68,67,68,103,118,140,54,76,151,235,123,173,103
"가구소득","100만원 미만",2019,409,273,177,134,77,63,37,27,588,608,90,413,325,397,705,427,285
"가구소득","100만원 미만",2020,156,82,11,24,52,101,60,21,248,98,135,137,93,201,210,161,58
"가구소득","100만원 미만",2021,97,137,48,64,48,73,60,7,49,184,60,63,130,118,87,157,122
"가구소득","100만원 미만",2022,114,93,51,12,9,67,22,23,132,159,127,243,97,255,173,142,170
"가구소득","100~200만원 미만",2018,372,428,37,224,148,105,141,67,717,815,343,652,533,801,529,821,507
"가구소득","100~200만원 미만",2019,455,496,260,432,173,139,94,47,912,1308,327,615,562,876,906,669,538
"가구소득","100~200만원 미만",2020,104,102,117,52,78,101,49,37,396,340,83,210,199,357,282,386,83
"가구소득","100~200만원 미만",2021,147,147,85,101,50,59,68,9,295,366,117,180,120,297,204,339,166
"가구소득","100~200만원 미만",2022,169,204,82,76,52,42,46,11,278,498,213,403,241,294,281,347,292
"가구소득","200~300만원 미만",2018,700,1419,265,434,287,364,270,128,1769,3329,700,1225,846,1875,1819,1884,1499
"가구소득","200~300만원 미만",2019,1111,1298,350,608,329,539,297,98,2270,2837,1155,1555,1148,1765,1557,1948,1232
"가구소득","200~300만원 미만",2020,353,644,215,295,188,391,143,141,858,1189,509,861,767,1037,599,1295,610
"가구소득","200~300만원 미만",2021,251,463,225,226,86,304,248,109,755,1233,518,909,699,900,707,1096,714
"가구소득","200~300만원 미만",2022,355,464,246,176,102,196,115,133,686,1435,474,944,670,1080,830,971,1002
"가구소득","300~400만원 미만",2018,857,2800,533,842,511,799,386,162,2378,6275,1393,2376,1199,3115,2078,3183,2626
"가구소득","300~400만원 미만",2019,1542,1990,820,1169,612,804,573,112,2624,5814,1593,2549,1932,2825,2745,3205,2042
"가구소득","300~400만원 미만",2020,546,842,275,553,265,510,388,102,1994,2315,887,1642,1555,1915,1461,2582,1658
"가구소득","300~400만원 미만",2021,528,891,240,341,203,434,263,36,1237,2757,786,1527,1103,1542,1422,1854,1506
"가구소득","300~400만원 미만",2022,561,1184,340,365,171,442,200,137,1702,3141,961,1682,1148,2015,1716,1985,1823
"가구소득","400~500만원 미만",2018,928,3572,828,983,563,1070,455,101,2863,6047,1075,2462,1854,3559,2916,3132,2772
"가구소득","400~500만원 미만",2019,1276,2558,616,1229,474,1066,527,180,3035,6485,1439,3261,2658,2923,3359,2950,2542
"가구소득","400~500만원 미만",2020,459,1019,226,271,298,319,181,125,2002,3205,993,1924,1512,1963,1368,1848,1891
"가구소득","400~500만원 미만",2021,569,660,247,367,125,369,254,48,1246,2759,840,1433,1261,2135,1581,2141,1791
"가구소득","400~500만원 미만",2022,477,1087,382,515,145,361,237,162,1462,2994,1071,1987,1342,1820,1862,2597,2021
"가구소득","500~600만원 미만",2018,1614,2753,465,604,361,595,344,82,2951,7818,1227,3074,1904,3838,3327,3298,2884
"가구소득","500~600만원 미만",2019,932,2164,692,660,543,855,613,279,2483,5924,1506,2665,2177,2750,2772,2004,2338
"가구소득","500~600만원 미만",2020,399,691,139,397,266,431,295,63,1682,3186,949,1725,1087,1515,1182,1400,1606
"가구소득","500~600만원 미만",2021,460,888,240,315,148,260,151,24,1570,3945,861,1382,1114,1981,1395,2117,2078
"가구소득","500~600만원 미만",2022,753,1517,316,625,252,376,382,116,2178,4259,1116,2235,1526,2305,2312,1999,2603
"가구소득","600만원 이상",2018,916,3028,381,703,336,735,224,65,1733,6761,1018,1693,1190,2688,3650,3292,3037
"가구소득","600만원 이상",2019,1011,2031,718,1184,433,581,240,141,2875,5652,1437,1955,1574,2533,1856,2048,2068
"가구소득","600만원 이상",2020,579,1240,285,453,158,450,290,149,1905,4308,850,1585,1237,1620,1487,1397,1968
"가구소득","600만원 이상",2021,518,1318,270,769,178,283,220,87,1990,4632,919,1676,1191,1752,2160,1781,3675
"가구소득","600만원 이상",2022,775,2034,503,1185,252,586,527,66,2782,9220,1613,3223,1865,3362,3159,3443,5470
"가구소득","무응답",2018,51,78,135,192,48,17,37,59,16,174,89
